group	x	y
1	4	91.5789473684211
1	5	89.2982456140351
1	6	83.5087719298246
1	7	81.0526315789474
1	8	83.1578947368421
1	9	86.3157894736842
1	10	82.1052631578947
1	11	84.7368421052632
1	12	85.4385964912281
1	13	84.7368421052632
1	14	85.7894736842105
1	15	90.8771929824561
1	16	89.8245614035088
1	17	88.7719298245614
1	18	89.8245614035088
1	19	91.9298245614035
1	20	91.9298245614035
1	21	92.1052631578947
1	22	91.4035087719298
1	23	91.4035087719298
1	24	94.2105263157895
1	25	93.1578947368421
1	26	92.4561403508772
1	27	93.3333333333333
1	28	92.9824561403509
1	29	94.0350877192983
1	30	94.0350877192983
1	31	94.0350877192983
1	32	94.0350877192983
1	33	95.7894736842105
1	34	95.9649122807018
1	35	95.9649122807018
1	36	95.9649122807018
1	37	95.9649122807018
1	38	94.5614035087719
1	39	95.7894736842105
1	40	96.3157894736842
1	41	96.8421052631579
1	42	96.8421052631579
1	43	97.0175438596491
1	44	97.0175438596491
1	45	97.0175438596491
1	46	97.0175438596491
1	47	97.0175438596491
1	48	97.0175438596491
1	49	97.0175438596491
1	50	97.0175438596491
1	51	97.0175438596491
1	52	97.0175438596491
1	53	97.0175438596491
1	54	97.0175438596491
1	55	97.0175438596491
1	56	97.0175438596491
1	57	97.0175438596491
1	58	97.0175438596491
1	59	97.0175438596491
1	60	97.3684210526316
2	4	75.9649122807018
2	5	89.4736842105263
2	6	84.0350877192983
2	7	85.0877192982456
2	8	89.1228070175439
2	9	89.1228070175439
2	10	89.8245614035088
2	11	90.3508771929825
2	12	95.2631578947368
2	13	95.2631578947368
2	14	96.4912280701754
2	15	96.140350877193
2	16	96.6666666666667
2	17	96.6666666666667
2	18	96.8421052631579
2	19	96.8421052631579
2	20	96.8421052631579
2	21	97.1929824561404
2	22	97.719298245614
2	23	97.719298245614
2	24	97.5438596491228
2	25	97.5438596491228
2	26	97.5438596491228
2	27	97.5438596491228
2	28	97.719298245614
2	29	97.719298245614
2	30	97.719298245614
2	31	97.719298245614
2	32	97.719298245614
2	33	97.5438596491228
2	34	97.719298245614
2	35	97.3684210526316
2	36	97.5438596491228
2	37	97.5438596491228
2	38	97.5438596491228
2	39	97.8947368421053
2	40	97.8947368421053
2	41	98.0701754385965
2	42	98.0701754385965
2	43	97.5438596491228
2	44	98.2456140350877
2	45	98.2456140350877
2	46	98.2456140350877
2	47	98.2456140350877
2	48	98.2456140350877
2	49	98.2456140350877
2	50	98.2456140350877
2	51	98.2456140350877
2	52	98.0701754385965
2	53	98.2456140350877
2	54	98.0701754385965
2	55	98.0701754385965
2	56	98.2456140350877
2	57	98.2456140350877
2	58	98.0701754385965
2	59	98.2456140350877
2	60	98.2456140350877
4	4	92.6315789473684
4	5	88.5964912280702
4	6	84.2105263157895
4	7	84.3859649122807
4	8	83.859649122807
4	9	84.3859649122807
4	10	90.5263157894737
4	11	85.6140350877193
4	12	84.9122807017544
4	13	84.5614035087719
4	14	86.6666666666667
4	15	84.0350877192983
4	16	86.3157894736842
4	17	87.1929824561404
4	18	86.8421052631579
4	19	86.6666666666667
4	20	91.5789473684211
4	21	91.2280701754386
4	22	90.8771929824561
4	23	90.7017543859649
4	24	91.9298245614035
4	25	92.9824561403509
4	26	92.1052631578947
4	27	94.0350877192983
4	28	94.0350877192983
4	29	91.7543859649123
4	30	94.7368421052632
4	31	94.7368421052632
4	32	94.7368421052632
4	33	94.9122807017544
4	34	94.9122807017544
4	35	95.7894736842105
4	36	95.4385964912281
4	37	95.2631578947368
4	38	95.0877192982456
4	39	95.9649122807018
4	40	96.140350877193
4	41	95.9649122807018
4	42	95.9649122807018
4	43	95.9649122807018
4	44	96.140350877193
4	45	96.140350877193
4	46	96.140350877193
4	47	95.9649122807018
4	48	95.9649122807018
4	49	95.9649122807018
4	50	96.140350877193
4	51	96.140350877193
4	52	96.140350877193
4	53	96.140350877193
4	54	96.140350877193
4	55	96.140350877193
4	56	96.140350877193
4	57	96.3157894736842
4	58	96.140350877193
4	59	96.140350877193
4	60	96.140350877193
5	4	78.9473684210526
5	5	80.7017543859649
5	6	84.9122807017544
5	7	87.8947368421053
5	8	88.9473684210526
5	9	88.7719298245614
5	10	85.0877192982456
5	11	89.1228070175439
5	12	85.7894736842105
5	13	88.2456140350877
5	14	83.6842105263158
5	15	84.0350877192983
5	16	88.421052631579
5	17	91.9298245614035
5	18	92.4561403508772
5	19	92.4561403508772
5	20	92.4561403508772
5	21	93.5087719298246
5	22	94.5614035087719
5	23	95.9649122807018
5	24	95.7894736842105
5	25	95.9649122807018
5	26	95.9649122807018
5	27	95.9649122807018
5	28	95.9649122807018
5	29	96.3157894736842
5	30	95.6140350877193
5	31	96.140350877193
5	32	95.9649122807018
5	33	96.140350877193
5	34	96.140350877193
5	35	95.9649122807018
5	36	96.140350877193
5	37	95.7894736842105
5	38	96.3157894736842
5	39	95.7894736842105
5	40	95.6140350877193
5	41	96.4912280701754
5	42	96.4912280701754
5	43	96.4912280701754
5	44	96.4912280701754
5	45	96.4912280701754
5	46	96.4912280701754
5	47	96.4912280701754
5	48	96.4912280701754
5	49	96.4912280701754
5	50	96.4912280701754
5	51	96.4912280701754
5	52	96.4912280701754
5	53	96.4912280701754
5	54	96.4912280701754
5	55	96.4912280701754
5	56	96.4912280701754
5	57	96.4912280701754
5	58	95.6140350877193
5	59	96.3157894736842
5	60	96.3157894736842
